Prop ID,Prop Name,Prop City,Live Date,RM,PM,Total Inventory,Avali,Inv Status,Head,MTD - FH Occ,Jan-2026 Ach ADR,STLM ADR,Feb-2026 MTD ADR,LM Vs CM ADR MTD,STLM,Feb-2026 MTD Rev,LM Vs CM MTD,Jan-2026 Ach Rev,Monthly Target,Monthly RR,Achievement,Target delta,Grid Status,MTD CTF,Bucket,CM Pricing Forms Count,L30D Pricing Forms Count,Days Since Last Pricing Form,MM,City Tag,Set,CAT
1069906,Via Athidhi Stay Inn,Hyderabad,19-Nov-2025,Newton,Keshav Gauba,16,16,Live,Arun Biyani,0.00%,849.2,953,927.2,-2.7% ▼,0.13,0.08,-37.5% ▼,0.83,0.53,0.23,44.09%,-0.3,No Grid,,0-10%,2,4,2,,Metro,PostSet,Category B
1069907,FabHotel The Laurent and Banon Resort,Manali,20-Nov-2025,Akhlesh,Keshav Gauba,30,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Simsa,Leisure,PostSet,Category A
1069908,FabHotel Fortune Suites Hebbal,Bangalore,19-Nov-2025,Dev Raj,Keshav Gauba,17,0,SoldOut,Arun Biyani,0.00%,1445.3,1272.5,1414,11.1% ▲,0.14,0.01,-89.9% ▼,0.42,0.77,0.04,5.14%,-0.73,No Grid,,0-10%,0,0,57,Hebbal,Metro,PostSet,Category B
1069910,FabHotel Kesar Inn,Jaipur,19-Nov-2025,Mayank,Keshav Gauba,14,14,Live,Arun Biyani,0.00%,1401,1461.5,1547.4,5.9% ▲,0.2,0.48,134.4% ▲,0.25,0.41,1.34,327.59%,0.93,No Grid,,0-10%,0,1,20,Pratap Nagar,Leisure,PostSet,Category C
1069926,FabHotel Kochar Continental,New Delhi,19-Nov-2025,Abhijeet Yadav,Keshav Gauba,27,0,SoldOut,Arun Biyani,0.00%,1172.6,1145.7,#DIV/0!,-,0.18,0,-100.0% ▼,0.22,1.25,0,0.00%,-1.25,No Grid,,0-10%,5,13,6,Karol Bagh,Metro,PostSet,Category A
1069929,FabHotel Hare Rama,Prayagraj,19-Nov-2025,Harsh Gupta,Keshav Gauba,15,15,Live,Arun Biyani,0.00%,1961.6,2081.3,#DIV/0!,-,0.08,0,-100.0% ▼,0.18,0.32,0,0.00%,-0.32,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,0,1,22,Naini,Pilgrim,PostSet,Category C
1071514,FabHotel Kavish Villa,Indore,20-Nov-2025,Harsh Gupta,Keshav Gauba,13,13,Live,Arun Biyani,0.00%,1376.3,#DIV/0!,#DIV/0!,-,0,0,-,0.32,0.4,0,0.00%,-0.4,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,0,1,14,Vijay Nagar,Business,PostSet,Category C
1071516,Via Esscon House,Gurgaon,20-Nov-2025,Sanskar,Keshav Gauba,17,17,Live,Arun Biyani,0.00%,1583,#DIV/0!,1261.5,-,0,0.05,-,0.02,0.43,0.14,32.86%,-0.29,No Grid,,0-10%,1,3,9,,Metro,PostSet,Category C
1071517,Via Saket Residency,New Delhi,20-Nov-2025,Aditya,Keshav Gauba,32,32,Live,Arun Biyani,0.00%,1291.6,#DIV/0!,1241,-,0,0.05,-,0.17,0.65,0.14,21.38%,-0.51,No Grid,,0-10%,0,2,20,,Metro,PostSet,Category B
1071519,Via KD6 Plaza Residency,New Delhi,20-Nov-2025,Aditya,Keshav Gauba,17,17,Live,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,1253.4,-,0,0.06,-,0,0.47,0.18,37.34%,-0.29,No Grid,,0-10%,0,1,15,,Metro,PostSet,Category C
1068928,FabHotel Sager Inn,Gurgaon,21-Nov-2025,Sanskar,Keshav Gauba,15,15,Live,Arun Biyani,0.00%,1155.8,1215.5,1159.8,-4.6% ▼,0.02,0.09,281.7% ▲,0.12,0.38,0.26,68.36%,-0.12,No Grid,,0-10%,1,3,9,Sector 15,Metro,PostSet,Category C
1073712,FabHotel K9 Comfort,Ludhiana,21-Nov-2025,Akhlesh,Keshav Gauba,12,12,Live,Arun Biyani,0.00%,1724.9,1503,1826.5,21.5% ▲,0.03,0.18,507.6% ▲,0.26,0.39,0.51,131.13%,0.12,No Grid,,0-10%,0,0,43,Focal Point,Business,PostSet,Category C
1073767,FabHotel The Runner,Gurgaon,21-Nov-2025,Sanskar,Keshav Gauba,30,30,Live,Arun Biyani,0.00%,1048.5,1204.6,1066.5,-11.5% ▼,0.06,0.32,431.2% ▲,0.48,0.58,0.9,154.46%,0.32,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,4,7,1,Galleria Market,Metro,PostSet,Category B
1074729,Via Kanha Palace,Ujjain,21-Nov-2025,Harsh Gupta,Keshav Gauba,8,8,Live,Arun Biyani,0.00%,2801.9,2026.5,1909.7,-5.8% ▼,0.04,0.06,41.4% ▲,0.7,0.42,0.16,38.19%,-0.26,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,1,10,4,,Pilgrim,PostSet,Category C
1074763,FabHotel Coco Homes Delist MC,Goa,21-Nov-2025,Dev Raj,Keshav Gauba,11,11,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Churned,,0-10%,#N/A,,,Candolim,Leisure,PostSet,Category B
1074793,FabHotel Nirvana,Gurgaon,21-Nov-2025,Sanskar,Keshav Gauba,30,30,Live,Arun Biyani,0.00%,1049.8,1112.5,992.7,-10.8% ▼,0.02,0.36,1506.2% ▲,0.16,0.52,1,192.44%,0.48,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,1,3,9,Sector 51,Metro,PostSet,Category B
1074849,FabHotel Upstream Sarjapur,Bangalore,21-Nov-2025,Dev Raj,Keshav Gauba,40,40,Live,Arun Biyani,0.00%,1210.9,1316.2,1327.2,0.8% ▲,0.08,0.29,269.7% ▲,0.36,0.7,0.82,116.79%,0.12,No Grid,,0-10%,0,2,19,Sarjapur Road,Metro,PostSet,Category B
